/home/josep/miniconda3/envs/nlp/lib/python3.11/site-packages/trl/trainer/ppo_config.py:141: UserWarning: The `optimize_cuda_cache` arguement will be deprecated soon, please use `optimize_device_cache` instead.
  warnings.warn(
/home/josep/miniconda3/envs/nlp/lib/python3.11/site-packages/transformers/models/auto/auto_factory.py:472: FutureWarning: The `use_auth_token` argument is deprecated and will be removed in v5 of Transformers. Please use `token` instead.
  warnings.warn(
Loading checkpoint shards: 100%|████████████████████████████████████████████████████████████████████████████████████████████| 2/2 [00:13<00:00,  6.74s/it]
Map: 100%|███████████████████████████████████████████████████████████████████████████████████████████████████| 1700/1700 [00:00<00:00, 7070.36 examples/s]
{'loss': 1.7578, 'learning_rate': 1.2415094339622642e-05, 'epoch': 0.36}                                                                                  
{'loss': 1.8261, 'learning_rate': 1.2392924528301886e-05, 'epoch': 0.36}                                                                                  
{'loss': 1.7885, 'learning_rate': 1.2370754716981133e-05, 'epoch': 0.37}                                                                                  
{'loss': 1.6268, 'learning_rate': 1.2348584905660377e-05, 'epoch': 0.37}                                                                                  
{'loss': 1.6595, 'learning_rate': 1.2326415094339623e-05, 'epoch': 0.38}                                                                                  
{'loss': 1.6813, 'learning_rate': 1.2304245283018868e-05, 'epoch': 0.38}                                                                                  
{'loss': 1.5924, 'learning_rate': 1.2282075471698114e-05, 'epoch': 0.39}                                                                                  
{'loss': 1.6327, 'learning_rate': 1.2259905660377358e-05, 'epoch': 0.39}                                                                                  
{'loss': 1.7884, 'learning_rate': 1.2237735849056604e-05, 'epoch': 0.4}                                                                                   
{'loss': 1.7341, 'learning_rate': 1.2215566037735849e-05, 'epoch': 0.4}                                                                                   
{'loss': 1.905, 'learning_rate': 1.2193396226415095e-05, 'epoch': 0.4}                                                                                    
{'loss': 1.6038, 'learning_rate': 1.217122641509434e-05, 'epoch': 0.41}                                                                                   
{'loss': 1.5193, 'learning_rate': 1.2149056603773586e-05, 'epoch': 0.41}                                                                                  
{'loss': 1.802, 'learning_rate': 1.212688679245283e-05, 'epoch': 0.42}                                                                                    
{'loss': 1.6754, 'learning_rate': 1.2104716981132076e-05, 'epoch': 0.42}                                                                                  
{'loss': 1.5367, 'learning_rate': 1.208254716981132e-05, 'epoch': 0.43}                                                                                   
{'loss': 1.3605, 'learning_rate': 1.2060377358490567e-05, 'epoch': 0.43}                                                                                  
{'loss': 1.7347, 'learning_rate': 1.2038207547169811e-05, 'epoch': 0.44}                                                                                  
{'loss': 1.7365, 'learning_rate': 1.2016037735849057e-05, 'epoch': 0.44}                                                                                  
{'loss': 1.2626, 'learning_rate': 1.1993867924528302e-05, 'epoch': 0.45}                                                                                  
{'loss': 1.7138, 'learning_rate': 1.1971698113207548e-05, 'epoch': 0.45}                                                                                  
{'loss': 1.9832, 'learning_rate': 1.1949528301886792e-05, 'epoch': 0.46}                                                                                  
{'loss': 1.449, 'learning_rate': 1.1927358490566039e-05, 'epoch': 0.46}                                                                                   
{'loss': 1.7132, 'learning_rate': 1.1905188679245283e-05, 'epoch': 0.47}                                                                                  
{'loss': 1.6153, 'learning_rate': 1.188301886792453e-05, 'epoch': 0.47}                                                                                   
 16%|██████████████████                                                                                                 | 100/636 [08:37<38:14,  4.28s/it]/home/josep/miniconda3/envs/nlp/lib/python3.11/site-packages/torch/utils/checkpoint.py:429: UserWarning: torch.utils.checkpoint: please pass in use_reentrant=True or use_reentrant=False explicitly. The default value of use_reentrant will be updated to be False in the future. To maintain current behavior, pass use_reentrant=True. It is recommended that you use use_reentrant=False. Refer to docs for more details on the differences between the two variants.
  warnings.warn(
/home/josep/miniconda3/envs/nlp/lib/python3.11/site-packages/bitsandbytes/autograd/_functions.py:322: UserWarning: MatMul8bitLt: inputs will be cast from torch.float32 to float16 during quantization
  warnings.warn(f"MatMul8bitLt: inputs will be cast from {A.dtype} to float16 during quantization")
/home/josep/miniconda3/envs/nlp/lib/python3.11/site-packages/bitsandbytes/autograd/_functions.py:322: UserWarning: MatMul8bitLt: inputs will be cast from torch.bfloat16 to float16 during quantization
  warnings.warn(f"MatMul8bitLt: inputs will be cast from {A.dtype} to float16 during quantization")
{'loss': 1.5222, 'learning_rate': 1.1860849056603774e-05, 'epoch': 0.48}                                                                                  
{'loss': 1.3295, 'learning_rate': 1.183867924528302e-05, 'epoch': 0.48}                                                                                   
{'loss': 1.8742, 'learning_rate': 1.1816509433962264e-05, 'epoch': 0.48}                                                                                  
{'loss': 1.5761, 'learning_rate': 1.179433962264151e-05, 'epoch': 0.49}                                                                                   
{'loss': 1.3599, 'learning_rate': 1.1772169811320755e-05, 'epoch': 0.49}                                                                                  
{'loss': 1.5944, 'learning_rate': 1.1750000000000001e-05, 'epoch': 0.5}                                                                                   
{'loss': 1.531, 'learning_rate': 1.1727830188679245e-05, 'epoch': 0.5}                                                                                    
{'loss': 1.7939, 'learning_rate': 1.1705660377358492e-05, 'epoch': 0.51}                                                                                  
{'loss': 1.8039, 'learning_rate': 1.1683490566037736e-05, 'epoch': 0.51}                                                                                  
{'loss': 1.4098, 'learning_rate': 1.1661320754716982e-05, 'epoch': 0.52}                                                                                  
{'loss': 1.7985, 'learning_rate': 1.1639150943396227e-05, 'epoch': 0.52}                                                                                  
{'loss': 1.6174, 'learning_rate': 1.1616981132075473e-05, 'epoch': 0.53}                                                                                  
{'loss': 1.8173, 'learning_rate': 1.1594811320754717e-05, 'epoch': 0.53}                                                                                  
{'loss': 1.5334, 'learning_rate': 1.1572641509433963e-05, 'epoch': 0.54}                                                                                  
{'loss': 1.5547, 'learning_rate': 1.1550471698113208e-05, 'epoch': 0.54}                                                                                  
{'loss': 1.4587, 'learning_rate': 1.1528301886792454e-05, 'epoch': 0.55}                                                                                  
{'loss': 1.9041, 'learning_rate': 1.1506132075471698e-05, 'epoch': 0.55}                                                                                  
{'loss': 1.5009, 'learning_rate': 1.1483962264150945e-05, 'epoch': 0.56}                                                                                  
{'loss': 1.5974, 'learning_rate': 1.1461792452830189e-05, 'epoch': 0.56}                                                                                  
{'loss': 1.6029, 'learning_rate': 1.1439622641509435e-05, 'epoch': 0.56}                                                                                  
{'loss': 1.7064, 'learning_rate': 1.141745283018868e-05, 'epoch': 0.57}                                                                                   
{'loss': 1.6161, 'learning_rate': 1.1395283018867926e-05, 'epoch': 0.57}                                                                                  
{'loss': 1.5931, 'learning_rate': 1.137311320754717e-05, 'epoch': 0.58}                                                                                   
{'loss': 1.5408, 'learning_rate': 1.1350943396226416e-05, 'epoch': 0.58}                                                                                  
{'loss': 1.2673, 'learning_rate': 1.1328773584905661e-05, 'epoch': 0.59}                                                                                  
{'loss': 1.6489, 'learning_rate': 1.1306603773584907e-05, 'epoch': 0.59}                                                                                  
{'loss': 1.4858, 'learning_rate': 1.1284433962264152e-05, 'epoch': 0.6}                                                                                   
{'loss': 1.513, 'learning_rate': 1.1262264150943398e-05, 'epoch': 0.6}                                                                                    
{'loss': 1.6966, 'learning_rate': 1.1240094339622642e-05, 'epoch': 0.61}                                                                                  
{'loss': 1.6094, 'learning_rate': 1.1217924528301888e-05, 'epoch': 0.61}                                                                                  
{'loss': 1.5272, 'learning_rate': 1.1195754716981133e-05, 'epoch': 0.62}                                                                                  
{'loss': 1.547, 'learning_rate': 1.1173584905660379e-05, 'epoch': 0.62}                                                                                   
{'loss': 1.614, 'learning_rate': 1.1151415094339623e-05, 'epoch': 0.63}                                                                                   
{'loss': 1.4455, 'learning_rate': 1.112924528301887e-05, 'epoch': 0.63}                                                                                   
{'loss': 1.6584, 'learning_rate': 1.1107075471698114e-05, 'epoch': 0.64}                                                                                  
{'loss': 1.2685, 'learning_rate': 1.108490566037736e-05, 'epoch': 0.64}                                                                                   
{'loss': 1.454, 'learning_rate': 1.1062735849056605e-05, 'epoch': 0.64}                                                                                   
{'loss': 1.6458, 'learning_rate': 1.104056603773585e-05, 'epoch': 0.65}                                                                                   
{'loss': 1.3009, 'learning_rate': 1.1018396226415095e-05, 'epoch': 0.65}                                                                                  
{'loss': 1.6861, 'learning_rate': 1.0996226415094341e-05, 'epoch': 0.66}                                                                                  
{'loss': 1.3709, 'learning_rate': 1.0974056603773586e-05, 'epoch': 0.66}                                                                                  
{'loss': 1.3539, 'learning_rate': 1.0951886792452832e-05, 'epoch': 0.67}                                                                                  
{'loss': 1.4004, 'learning_rate': 1.0929716981132076e-05, 'epoch': 0.67}                                                                                  
{'loss': 1.5047, 'learning_rate': 1.0907547169811323e-05, 'epoch': 0.68}                                                                                  
{'loss': 1.3175, 'learning_rate': 1.0885377358490567e-05, 'epoch': 0.68}                                                                                  
{'loss': 1.4569, 'learning_rate': 1.0863207547169813e-05, 'epoch': 0.69}                                                                                  
{'loss': 1.2377, 'learning_rate': 1.0841037735849058e-05, 'epoch': 0.69}                                                                                  
{'loss': 1.4414, 'learning_rate': 1.0818867924528304e-05, 'epoch': 0.7}                                                                                   
{'loss': 1.4198, 'learning_rate': 1.0796698113207548e-05, 'epoch': 0.7}                                                                                   
{'loss': 1.4553, 'learning_rate': 1.0774528301886794e-05, 'epoch': 0.71}                                                                                  
{'loss': 1.2543, 'learning_rate': 1.0752358490566039e-05, 'epoch': 0.71}                                                                                  
{'loss': 1.5172, 'learning_rate': 1.0730188679245285e-05, 'epoch': 0.72}                                                                                  
{'loss': 1.4672, 'learning_rate': 1.070801886792453e-05, 'epoch': 0.72}                                                                                   
{'loss': 1.3816, 'learning_rate': 1.0685849056603776e-05, 'epoch': 0.72}                                                                                  
{'loss': 1.5652, 'learning_rate': 1.066367924528302e-05, 'epoch': 0.73}                                                                                   
{'loss': 1.61, 'learning_rate': 1.0641509433962264e-05, 'epoch': 0.73}                                                                                    
{'loss': 1.2573, 'learning_rate': 1.061933962264151e-05, 'epoch': 0.74}                                                                                   
{'loss': 1.2555, 'learning_rate': 1.0597169811320755e-05, 'epoch': 0.74}                                                                                  
{'loss': 1.4511, 'learning_rate': 1.0575e-05, 'epoch': 0.75}                                                                                              
{'loss': 1.4873, 'learning_rate': 1.0552830188679246e-05, 'epoch': 0.75}                                                                                  
{'loss': 1.547, 'learning_rate': 1.053066037735849e-05, 'epoch': 0.76}                                                                                    
{'loss': 1.289, 'learning_rate': 1.0508490566037736e-05, 'epoch': 0.76}                                                                                   
{'loss': 1.3958, 'learning_rate': 1.048632075471698e-05, 'epoch': 0.77}                                                                                   
{'loss': 1.1928, 'learning_rate': 1.0464150943396225e-05, 'epoch': 0.77}                                                                                  
{'loss': 1.4299, 'learning_rate': 1.0441981132075471e-05, 'epoch': 0.78}                                                                                  
{'loss': 1.422, 'learning_rate': 1.0419811320754716e-05, 'epoch': 0.78}                                                                                   
{'loss': 1.1515, 'learning_rate': 1.0397641509433962e-05, 'epoch': 0.79}                                                                                  
{'loss': 1.3375, 'learning_rate': 1.0375471698113206e-05, 'epoch': 0.79}                                                                                  
{'loss': 1.4732, 'learning_rate': 1.0353301886792453e-05, 'epoch': 0.8}                                                                                   
{'loss': 1.1661, 'learning_rate': 1.0331132075471697e-05, 'epoch': 0.8}                                                                                   
{'loss': 1.3784, 'learning_rate': 1.0308962264150943e-05, 'epoch': 0.8}                                                                                   
{'loss': 1.5121, 'learning_rate': 1.0286792452830188e-05, 'epoch': 0.81}                                                                                  
{'loss': 1.4663, 'learning_rate': 1.0264622641509434e-05, 'epoch': 0.81}                                                                                  
{'loss': 1.4653, 'learning_rate': 1.0242452830188678e-05, 'epoch': 0.82}                                                                                  
{'loss': 1.4484, 'learning_rate': 1.0220283018867924e-05, 'epoch': 0.82}                                                                                  
{'loss': 1.532, 'learning_rate': 1.0198113207547169e-05, 'epoch': 0.83}                                                                                   
{'loss': 1.3027, 'learning_rate': 1.0175943396226415e-05, 'epoch': 0.83}                                                                                  
{'loss': 1.2395, 'learning_rate': 1.015377358490566e-05, 'epoch': 0.84}                                                                                   
{'loss': 1.41, 'learning_rate': 1.0131603773584906e-05, 'epoch': 0.84}                                                                                    
{'loss': 1.3575, 'learning_rate': 1.010943396226415e-05, 'epoch': 0.85}                                                                                   
{'loss': 1.4257, 'learning_rate': 1.0087264150943396e-05, 'epoch': 0.85}                                                                                  
{'loss': 1.2384, 'learning_rate': 1.006509433962264e-05, 'epoch': 0.86}                                                                                   
{'loss': 1.2652, 'learning_rate': 1.0042924528301887e-05, 'epoch': 0.86}                                                                                  
{'loss': 1.2284, 'learning_rate': 1.0020754716981131e-05, 'epoch': 0.87}                                                                                  
{'loss': 1.3374, 'learning_rate': 9.998584905660377e-06, 'epoch': 0.87}                                                                                   
{'loss': 1.4548, 'learning_rate': 9.976415094339622e-06, 'epoch': 0.88}                                                                                   
{'loss': 1.2805, 'learning_rate': 9.954245283018868e-06, 'epoch': 0.88}                                                                                   
{'loss': 1.355, 'learning_rate': 9.932075471698113e-06, 'epoch': 0.88}                                                                                    
{'loss': 1.0004, 'learning_rate': 9.909905660377359e-06, 'epoch': 0.89}                                                                                   
{'loss': 1.2327, 'learning_rate': 9.887735849056603e-06, 'epoch': 0.89}                                                                                   
{'loss': 1.2469, 'learning_rate': 9.86556603773585e-06, 'epoch': 0.9}                                                                                     
{'loss': 1.3635, 'learning_rate': 9.843396226415094e-06, 'epoch': 0.9}                                                                                    
{'loss': 1.253, 'learning_rate': 9.82122641509434e-06, 'epoch': 0.91}                                                                                     
{'loss': 1.3563, 'learning_rate': 9.799056603773584e-06, 'epoch': 0.91}                                                                                   
{'loss': 1.237, 'learning_rate': 9.77688679245283e-06, 'epoch': 0.92}                                                                                     
{'loss': 1.1348, 'learning_rate': 9.754716981132075e-06, 'epoch': 0.92}                                                                                   
{'loss': 1.115, 'learning_rate': 9.732547169811321e-06, 'epoch': 0.93}                                                                                    
{'loss': 1.2908, 'learning_rate': 9.710377358490566e-06, 'epoch': 0.93}                                                                                   
{'loss': 1.2218, 'learning_rate': 9.688207547169812e-06, 'epoch': 0.94}                                                                                   
{'loss': 1.2179, 'learning_rate': 9.666037735849056e-06, 'epoch': 0.94}                                                                                   
 31%|████████████████████████████████████▏                                                                              | 200/636 [17:07<42:34,  5.86s/it]/home/josep/miniconda3/envs/nlp/lib/python3.11/site-packages/torch/utils/checkpoint.py:429: UserWarning: torch.utils.checkpoint: please pass in use_reentrant=True or use_reentrant=False explicitly. The default value of use_reentrant will be updated to be False in the future. To maintain current behavior, pass use_reentrant=True. It is recommended that you use use_reentrant=False. Refer to docs for more details on the differences between the two variants.
  warnings.warn(
/home/josep/miniconda3/envs/nlp/lib/python3.11/site-packages/bitsandbytes/autograd/_functions.py:322: UserWarning: MatMul8bitLt: inputs will be cast from torch.float32 to float16 during quantization
  warnings.warn(f"MatMul8bitLt: inputs will be cast from {A.dtype} to float16 during quantization")
/home/josep/miniconda3/envs/nlp/lib/python3.11/site-packages/bitsandbytes/autograd/_functions.py:322: UserWarning: MatMul8bitLt: inputs will be cast from torch.bfloat16 to float16 during quantization
  warnings.warn(f"MatMul8bitLt: inputs will be cast from {A.dtype} to float16 during quantization")
{'loss': 1.2031, 'learning_rate': 9.643867924528302e-06, 'epoch': 0.95}                                                                                   
{'loss': 1.3862, 'learning_rate': 9.621698113207547e-06, 'epoch': 0.95}                                                                                   
{'loss': 1.3651, 'learning_rate': 9.599528301886793e-06, 'epoch': 0.96}                                                                                   
{'loss': 1.1623, 'learning_rate': 9.577358490566037e-06, 'epoch': 0.96}                                                                                   
{'loss': 1.1918, 'learning_rate': 9.555188679245284e-06, 'epoch': 0.96}                                                                                   
{'loss': 1.272, 'learning_rate': 9.533018867924528e-06, 'epoch': 0.97}                                                                                    
{'loss': 1.1626, 'learning_rate': 9.510849056603774e-06, 'epoch': 0.97}                                                                                   
{'loss': 1.3837, 'learning_rate': 9.488679245283019e-06, 'epoch': 0.98}                                                                                   
{'loss': 1.0158, 'learning_rate': 9.466509433962265e-06, 'epoch': 0.98}                                                                                   
{'loss': 1.4685, 'learning_rate': 9.44433962264151e-06, 'epoch': 0.99}                                                                                    
{'loss': 1.4273, 'learning_rate': 9.422169811320755e-06, 'epoch': 0.99}                                                                                   
{'loss': 1.0762, 'learning_rate': 9.4e-06, 'epoch': 1.0}                                                                                                  
{'loss': 1.2875, 'learning_rate': 9.377830188679246e-06, 'epoch': 1.0}                                                                                    
{'loss': 1.188, 'learning_rate': 9.35566037735849e-06, 'epoch': 1.01}                                                                                     
{'loss': 1.2893, 'learning_rate': 9.333490566037737e-06, 'epoch': 1.01}                                                                                   
{'loss': 1.0258, 'learning_rate': 9.311320754716981e-06, 'epoch': 1.02}                                                                                   
{'loss': 1.3352, 'learning_rate': 9.289150943396227e-06, 'epoch': 1.02}                                                                                   
{'loss': 1.0605, 'learning_rate': 9.266981132075472e-06, 'epoch': 1.03}                                                                                   
{'loss': 1.1707, 'learning_rate': 9.244811320754718e-06, 'epoch': 1.03}                                                                                   
{'loss': 1.1235, 'learning_rate': 9.222641509433962e-06, 'epoch': 1.04}                                                                                   
{'loss': 1.1178, 'learning_rate': 9.200471698113208e-06, 'epoch': 1.04}                                                                                   
{'loss': 1.1368, 'learning_rate': 9.178301886792453e-06, 'epoch': 1.04}                                                                                   
{'loss': 1.1672, 'learning_rate': 9.156132075471699e-06, 'epoch': 1.05}                                                                                   
{'loss': 1.3141, 'learning_rate': 9.133962264150943e-06, 'epoch': 1.05}                                                                                   
{'loss': 1.1222, 'learning_rate': 9.11179245283019e-06, 'epoch': 1.06}                                                                                    
{'loss': 1.251, 'learning_rate': 9.089622641509434e-06, 'epoch': 1.06}                                                                                    
{'loss': 1.1946, 'learning_rate': 9.06745283018868e-06, 'epoch': 1.07}                                                                                    
{'loss': 1.1905, 'learning_rate': 9.045283018867925e-06, 'epoch': 1.07}                                                                                   
{'loss': 1.0685, 'learning_rate': 9.02311320754717e-06, 'epoch': 1.08}                                                                                    
{'loss': 1.2852, 'learning_rate': 9.000943396226415e-06, 'epoch': 1.08}                                                                                   
{'loss': 0.9371, 'learning_rate': 8.978773584905661e-06, 'epoch': 1.09}                                                                                   
{'loss': 1.0912, 'learning_rate': 8.956603773584906e-06, 'epoch': 1.09}                                                                                   
{'loss': 1.1317, 'learning_rate': 8.934433962264152e-06, 'epoch': 1.1}                                                                                    
{'loss': 1.1203, 'learning_rate': 8.912264150943396e-06, 'epoch': 1.1}                                                                                    
{'loss': 0.9996, 'learning_rate': 8.890094339622643e-06, 'epoch': 1.11}                                                                                   
{'loss': 1.3056, 'learning_rate': 8.867924528301887e-06, 'epoch': 1.11}                                                                                   
{'loss': 0.9091, 'learning_rate': 8.845754716981133e-06, 'epoch': 1.12}                                                                                   
